value,seq
101,"Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?"
102,"Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?"
103,"Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?"
104,"Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?"
105,"Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?"
106,"Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Enforced mandatory reporting of public officials income and wealth?"
107,"Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Introduced anti-corruption audits of municipal governments?"
108,"Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?"
109,"Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?"
110,"Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?"
111,"Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?"
112,"Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?"
113,"Enforced mandatory reporting of public officials income and wealth?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Arrested corrupt officials?"
114,"Improved protections for people who report corruption?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?"
115,"Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Mandated that government purchases be made via online platform with publicly visible transactions?"
116,"Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?"
117,"Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Raised civil service salaries to increase honesty?, Arrested corrupt officials?, Improved protections for people who report corruption?"
118,"Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?"
119,"Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?"
120,"Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?"
121,"Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?"
122,"Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?"
123,"Arrested corrupt officials?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?"
124,"Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?"
125,"Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?"
126,"Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?"
127,"Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?"
128,"Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?"
129,"Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?"
130,"Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?"
131,"Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?"
132,"Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?"
133,"Arrested corrupt officials?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?"
134,"Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?"
135,"Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?"
136,"Introduced anti-corruption trainings in schools?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?"
137,"Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?"
138,"Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?"
139,"Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?"
140,"Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Arrested corrupt officials?, Arrested corrupt businesspeople?"
141,"Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?"
142,"Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Arrested corrupt officials?"
143,"Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Improved protections for people who report corruption?, Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?"
144,"Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?"
145,"Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?"
146,"Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Arrested corrupt officials?"
147,"Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?"
148,"Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?"
149,"Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?"
150,"Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?"
151,"Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?"
152,"Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?"
153,"Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?"
154,"Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?"
155,"Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?"
156,"Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?"
157,"Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?"
158,"Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?"
159,"Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?"
160,"Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?"
161,"Enforced mandatory reporting of public officials income and wealth?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?"
162,"Enforced mandatory reporting of public officials income and wealth?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?"
163,"Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Arrested corrupt businesspeople?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?"
164,"Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?"
165,"Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Arrested corrupt officials?"
166,"Arrested corrupt officials?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?"
167,"Arrested corrupt officials?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?"
168,"Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?"
169,"Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?"
170,"Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?"
171,"Introduced anti-corruption trainings in schools?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt officials?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?"
172,"Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Arrested corrupt businesspeople?, Implemented civil service exam to ensure hiring of public servants based on merit?, Mandated that government purchases be made via online platform with publicly visible transactions?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Introduced anti-corruption trainings in schools?"
173,"Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Enforced mandatory reporting of public officials income and wealth?"
174,"Arrested corrupt businesspeople?, Introduced anti-corruption audits of municipal governments?, Raised civil service salaries to increase honesty?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?"
175,"Arrested corrupt officials?, Arrested corrupt businesspeople?, Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption trainings in schools?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Implemented civil service exam to ensure hiring of public servants based on merit?, Raised civil service salaries to increase honesty?"
176,"Improved protections for people who report corruption?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Arrested corrupt businesspeople?, Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Implemented civil service exam to ensure hiring of public servants based on merit?, Enforced mandatory reporting of public officials income and wealth?"
177,"Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption audits of municipal governments?, Mandated that government purchases be made via online platform with publicly visible transactions?, Improved protections for people who report corruption?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?"
178,"Enforced mandatory reporting of public officials income and wealth?, Introduced anti-corruption audits of municipal governments?, Arrested corrupt officials?, Raised civil service salaries to increase honesty?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Improved protections for people who report corruption?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?"
179,"Mandated that government purchases be made via online platform with publicly visible transactions?, Introduced anti-corruption trainings in schools?, Raised civil service salaries to increase honesty?, Improved protections for people who report corruption?, Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Arrested corrupt officials?, Enforced mandatory reporting of public officials income and wealth?, Arrested corrupt businesspeople?"
180,"Introduced anti-corruption audits of municipal governments?, Implemented civil service exam to ensure hiring of public servants based on merit?, Introduced anti-corruption trainings in schools?, Arrested corrupt officials?, Mandated that government purchases be made via online platform with publicly visible transactions?, Arrested corrupt businesspeople?, Raised civil service salaries to increase honesty?, Enforced mandatory reporting of public officials income and wealth?, Improved protections for people who report corruption?"
